cell_line_id	drug_row	drug_col	synergy_zip	synergy_loewe	synergy_hsa	synergy_bliss
47	11152667	16681698	0.6014	-0.0886	-0.166	0.4571
47	11152667	11178236	0.1186	0.1013	-0.1568	-0.018
47	11152667	11717001	-0.0392	-1.6732	-0.463	-0.0457
47	11152667	11656518	-0.5526	-0.3495	-1.0665	-0.5254
47	11152667	135330301	0.2554	-0.8574	-0.4706	0.0925
47	11152667	2719	-0.787	-0.2791	-0.8272	-1.151
47	11152667	104741	-0.069	0.3553	-0.1107	-0.3152
47	11152667	449459	-1.1099	-0.8544	-1.7409	-1.7243
47	11152667	2733526	0.9821	0.5946	1.03	0.3758
47	11152667	148195	0.7515	0.231	0.3656	0.2067
47	11152667	49867930	-1.0522	-1.6555	-2.4574	-1.8961
47	11152667	5311	1.3957	0.3217	0.8665	0.9693
47	11152667	4261	-0.1051	-0.0788	-0.3087	-0.7015
47	11152667	11955716	0.4598	0.1725	0.1201	0.2884
47	11152667	16719221	-0.0193	-0.17	-0.6661	-0.3526
47	11152667	11707110	2.3894	1.0736	2.203	1.6918
47	11152667	11494412	1.1847	0.3142	0.704	0.7369
47	11152667	11626560	0.0044	-0.3417	-0.8181	-0.4603
47	11152667	17754438	0.4836	-1.8684	-0.2872	0.1431
47	11152667	6918289	0.2803	0.6101	0.5611	-0.0458
47	11152667	6442177	-0.1068	0.4606	0.1692	-0.274
47	11152667	45375953	1.1298	0.0532	0.8073	0.7143
47	11152667	16720766	0.5624	0.2944	0.5934	0.1788
47	11152667	11625818	0.2395	-0.9029	-0.0393	0.227
47	11152667	49867926	1.4058	-1.5993	0.6019	1.4117
47	11152667	25033539	0.3884	0.0392	-0.0294	-0.0738
47	11152667	176167	-0.691	-2.161	-3.1808	-2.3227
47	11152667	11556711	-0.3894	0.2042	-0.4307	-0.259
47	11152667	387447	1.4345	2.3797	-0.6515	-0.285
47	11152667	11167602	0.278	-0.7289	0.0466	0.441
47	11152667	24856436	1.2381	0.2469	0.5374	0.7219
47	123631	24964624	0.4645	-1.1796	-0.2427	0.0596
47	123631	148177	-0.7505	-1.1287	-1.8367	-0.7458
47	123631	16681698	-0.0598	-2.0796	-0.6998	-0.117
47	123631	24978538	-0.5402	-1.1158	-0.5856	-0.5476
47	123631	11178236	0.0813	-1.9561	-0.4366	0.1415
47	123631	11717001	-1.0193	-0.1721	-1.0683	-0.9281
47	123631	11656518	-0.8323	-0.7993	-0.2588	-0.6537
47	123631	135330301	-0.0386	0.3995	-0.0211	0.4133
47	123631	2719	-1.5769	0.0586	-0.3431	-0.8425
47	123631	104741	2.8035	2.6323	-0.6837	-0.4101
47	123631	449459	-0.8467	-0.1301	-0.5142	-0.841
47	123631	148195	-0.1513	0.0653	-0.1922	-0.2697
47	123631	49867930	-1.5641	0.2428	-0.3241	-0.9026
47	123631	4261	-0.0686	-1.2754	0.0633	0.2304
47	123631	11955716	0.0195	-2.0306	-0.2773	0.0852
47	123631	16719221	-0.0108	-0.2702	0.1647	1.3055
47	123631	11707110	0.3035	-0.3278	0.3495	0.4443
47	123631	11494412	0.0745	-1.857	-0.0533	0.0547
47	123631	11626560	-0.4363	-1.4236	-0.5166	-0.4347
47	123631	6918289	-0.0865	-0.0954	-0.5111	-0.2128
47	123631	6442177	-0.3007	-0.0857	-0.5717	-0.4321
47	123631	45375953	-0.7141	0.116	0.1746	0.3595
47	123631	11520894	0.045	-0.0328	-0.9224	-0.4048
47	123631	11625818	-0.9073	0.4334	0.1571	0.2526
47	123631	25033539	-0.0849	-1.9498	-0.4621	-0.2534
47	123631	176167	-0.7878	-1.7307	-1.9372	-0.7354
47	123631	387447	2.6671	2.9866	-0.6455	-0.3516
47	123631	11167602	-1.3997	0.1164	-0.4867	-0.7339
47	123631	24856436	-0.4092	-0.4525	-0.769	-0.3833
47	11488320	24964624	2.6212	0.9791	1.6604	2.9741
47	11488320	148177	-0.7453	0.5422	0.4032	0.2415
47	11488320	9444	-1.0504	-0.2531	-1.4802	-1.2249
47	11488320	16681698	0.5372	-1.899	0.0112	0.3729
47	11488320	24978538	0.4685	-1.5424	0.6373	0.6839
47	11488320	11717001	0.6582	0.3687	-0.3593	0.7043
47	11488320	11656518	0.5582	-0.3966	0.3702	0.6793
47	11488320	135330301	-1.3553	-1.8888	-3.3949	-2.0542
47	11488320	2719	-1.9729	-0.5642	-2.6253	-2.115
47	11488320	449459	0.2346	0.2194	0.1102	0.0532
47	11488320	2733526	-0.4017	-1.1999	-0.8949	-0.7148
47	11488320	148195	0.3141	-1.2091	-0.7736	0.0056
47	11488320	49867930	0.1356	-0.1418	-1.0383	0.1957
47	11488320	5311	1.4324	0.1769	0.8136	2.1242
47	11488320	4261	0.572	-0.2968	0.453	1.0824
47	11488320	11955716	-0.3972	-0.8946	-0.2229	-0.2905
47	11488320	16719221	-1.3155	-0.144	-0.8348	-1.0308
47	11488320	11707110	-0.7054	0.0777	-0.0678	-0.5332
47	11488320	11494412	0.9071	-2.1655	-0.193	0.5186
47	11488320	11626560	-0.1227	-0.9025	0.107	0.2426
47	11488320	17754438	-0.3837	-0.1077	-1.0911	-0.7404
47	11488320	6918289	0.9435	0.0988	-0.071	0.3982
47	11488320	45375953	0.6534	0.2161	0.4516	1.2701
47	11488320	11520894	-0.3284	0.1332	-0.4062	-0.187
47	11488320	16720766	-0.2225	-1.5819	-0.2625	-0.2434
47	11488320	11625818	-0.2127	-0.1004	-0.8356	0.0736
47	11488320	49867926	-0.4546	0.2344	-0.4889	-0.2591
47	11488320	176167	-0.1727	-0.0673	-1.0352	-0.316
47	11488320	11556711	-0.4142	0.126	-0.5088	-0.2532
47	11488320	11167602	-0.5783	-0.0128	-0.9569	-0.6162
47	11488320	24856436	1.1374	0.0564	0.6993	1.592
47	51039095	148177	0.1706	-0.2665	0.1401	0.5597
47	51039095	9444	-1.1924	0.5329	0.473	0.0033
47	51039095	16681698	-0.7576	-0.2273	-0.4406	0.0228
47	51039095	24978538	-0.9235	0.1892	0.3533	-0.5769
47	51039095	11178236	-0.1423	0.3812	0.2813	-0.1749
47	51039095	11717001	-0.501	0.0026	-0.5075	-0.6851
47	51039095	11656518	0.4242	0.1265	0.1147	-0.0244
47	51039095	135330301	-0.0924	0.3313	0.2387	-0.1711
47	51039095	2719	0.4779	0.8578	1.3269	0.4519
47	51039095	104741	0.2273	0.3281	-0.1867	-0.2495
47	51039095	449459	4.799	3.4119	6.9168	3.526
47	51039095	2733526	-0.1518	0.4738	0.6455	-0.3787
47	51039095	148195	0.3842	1.1767	1.9636	0.0858
47	51039095	49867930	0.2346	0.7538	0.9494	0.6017
47	51039095	5311	1.8778	1.163	2.3901	1.2879
47	51039095	4261	-0.2144	0.3569	0.4077	0.1036
47	51039095	11955716	-0.8096	-0.1367	-0.0847	-0.6131
47	51039095	16719221	1.3214	0.8446	1.4542	0.9538
47	51039095	11707110	-0.9776	0.215	0.1646	-1.2609
47	51039095	11494412	0.1576	-0.0458	0.5199	-0.1151
47	51039095	11626560	0.2678	0.5017	0.5289	0.4271
47	51039095	17754438	-0.937	-0.5802	-1.0751	-0.8102
47	51039095	6918289	-0.1393	0.2048	0.0404	-0.4098
47	51039095	6442177	-0.4152	0.2726	-0.3279	-0.6644
47	51039095	45375953	0.2756	0.8838	1.2624	0.4589
47	51039095	11520894	-0.6879	0.1861	-0.2419	-0.5093
47	51039095	16720766	-0.1676	0.3311	0.3557	-0.3153
47	51039095	11625818	1.1125	1.5709	2.8589	1.7203
47	51039095	49867926	-0.4663	-0.2919	-0.0764	0.2096
47	51039095	25033539	0.8584	0.8316	1.5194	0.4275
47	51039095	176167	-0.9651	-0.7208	-1.6925	-0.9059
47	51039095	11556711	-0.406	0.1382	-0.4199	-0.2277
47	51039095	387447	1.9789	6.8325	-0.554	-0.24
47	51039095	11167602	-0.3278	0.5571	0.7439	-0.2744
47	51039095	24856436	0.7191	0.6437	0.9424	0.4792
47	16659841	148177	0.2055	-0.1371	0.0342	0.5027
47	16659841	9444	-1.0841	-0.0195	-0.7397	-0.8945
47	16659841	16681698	-0.4284	-0.5202	-0.9431	-0.6983
47	16659841	24978538	0.222	-0.1172	-0.4974	-0.694
47	16659841	11178236	-0.0505	0.182	0.1216	-0.0768
47	16659841	11717001	-0.3434	-0.6814	-1.2952	-1.1354
47	16659841	11656518	0.4753	0.5146	0.7285	0.2466
47	16659841	135330301	0.6397	0.2208	1.0858	0.7157
47	16659841	2719	-1.6887	0.0279	-0.2759	-1.213
47	16659841	104741	0.4613	0.3509	-0.1053	-0.2001
47	16659841	449459	3.2509	2.229	4.3646	2.3689
47	16659841	2733526	-0.1126	0.1641	-0.051	-0.3916
47	16659841	148195	1.1456	0.5869	1.4059	0.6498
47	16659841	49867930	0.5491	0.6194	1.007	0.1846
47	16659841	5311	-0.7963	0.2631	-0.0202	-0.7918
47	16659841	4261	0.1652	0.4331	0.7415	-0.0475
47	16659841	11955716	8.4643	-2.0672	0.2085	10.4612
47	16659841	16719221	0.7375	0.8533	1.3684	0.7572
47	16659841	11626560	1.0749	-0.1287	0.3879	0.4576
47	16659841	17754438	-0.2419	-1.1771	-0.8673	-0.2466
47	16659841	6918289	-0.276	0.3403	-0.1529	-0.4087
47	16659841	6442177	-0.0772	0.5181	0.3342	-0.2282
47	16659841	45375953	-0.7814	-0.0249	-0.0603	-0.5668
47	16659841	11520894	-0.5801	0.2703	-0.3432	-0.4549
47	16659841	16720766	-0.4098	-0.1485	-0.3901	-0.6042
47	16659841	11625818	-1.9801	-0.3082	-1.4586	-1.8431
47	16659841	49867926	-1.5783	-1.4263	-2.6852	-1.9421
47	16659841	11556711	-0.1718	0.396	-0.4163	-0.2405
47	16659841	11167602	-1.9438	-0.2764	-1.2839	-1.5286
47	16659841	24856436	0.4188	0.0469	0.0756	0.2766
47	10127622	24964624	-0.1496	0.7196	1.0054	1.0078
47	10127622	148177	-0.3982	-0.1123	-0.4836	0.127
47	10127622	9444	0.7112	0.7289	1.0315	2.0664
47	10127622	16681698	-0.4151	0.267	0.3656	0.0319
47	10127622	24978538	2.0124	1.1738	1.023	1.154
47	10127622	11178236	-0.2136	-0.9441	-0.1991	-0.179
47	10127622	11717001	-0.1514	0.556	0.4231	0.4379
47	10127622	11656518	0.2777	-0.4992	0.371	0.2079
47	10127622	135330301	-0.3587	-0.0884	-0.3355	0.2044
47	10127622	2719	-1.6104	0.1299	-0.4084	-0.5485
47	10127622	104741	0.3203	0.2309	-0.3821	-0.2519
47	10127622	449459	0.0625	0.5638	0.3173	-0.1238
47	10127622	2733526	1.3352	-0.515	1.0752	0.8119
47	10127622	148195	-0.3466	-0.1191	-0.1431	-0.4462
47	10127622	49867930	-2.0116	-0.3935	-0.7783	-1.1059
47	10127622	5311	-0.4395	-0.0341	0.4229	0.7735
47	10127622	4261	-0.7543	-1.4109	-1.0268	-0.7769
47	10127622	11955716	-0.3157	0.5029	0.4277	-0.0433
47	10127622	16719221	-1.0557	-0.1759	-0.4637	-0.173
47	10127622	11707110	-0.1578	0.7279	0.7651	0.0127
47	10127622	11494412	0.1173	-1.5388	0.3548	0.4868
47	10127622	11626560	-0.6687	-0.4696	-0.8442	-0.7222
47	10127622	17754438	1.2214	0.8577	1.5507	3.1258
47	10127622	6442177	-0.0774	0.0013	-0.2764	-0.2628
47	10127622	45375953	0.7426	1.0137	1.4366	1.5506
47	10127622	11520894	-0.2322	0.3359	-0.198	-0.1912
47	10127622	16720766	0.4152	-0.1876	0.7792	0.4511
47	10127622	11625818	1.1814	1.0811	1.8406	1.7612
47	10127622	49867926	-0.6206	0.0642	0.0949	0.356
47	10127622	25033539	0.3961	-0.985	0.1569	0.1046
47	10127622	176167	0.9921	0.3219	0.4102	1.2582
47	10127622	11556711	-0.3847	0.1399	-0.5657	-0.2975
47	10127622	11167602	0.9917	0.9975	1.8107	1.2809
47	10127622	24856436	-0.4091	0.2411	-0.1407	-0.2895
47	25262792	24964624	-0.6141	0.3264	0.0344	-0.5693
47	25262792	148177	0.0293	-1.5544	-0.5489	-0.171
47	25262792	9444	-0.0429	-0.9351	-0.4316	-0.2618
47	25262792	16681698	0.3381	0.302	0.499	0.1694
47	25262792	24978538	1.5375	-0.2598	1.1674	0.9602
47	25262792	11178236	-0.3477	0.0777	-0.374	-0.5283
47	25262792	11717001	0.2437	-1.5992	-0.1905	0.141
47	25262792	11656518	0.81	0.7105	1.2847	0.4574
47	25262792	135330301	0.0914	-1.8124	-0.8095	-0.2061
47	25262792	2719	-1.347	-0.6275	-1.3389	-1.5747
47	25262792	104741	-0.1124	0.436	0.032	-0.3205
47	25262792	449459	-0.429	1.0398	1.6076	-0.3787
47	25262792	2733526	0.1328	0.6481	1.0024	-0.1327
47	25262792	148195	-0.0125	0.4001	0.5673	-0.3728
47	25262792	49867930	-0.5774	-0.2044	-1.2154	-1.1613
47	25262792	5311	0.1865	0.4693	0.7629	0.1338
47	25262792	4261	-0.0725	0.37	0.565	-0.3519
47	25262792	11955716	-0.3459	0.1158	-0.0947	-0.3795
47	25262792	16719221	0.2677	0.0586	0.4553	0.0887
47	25262792	11707110	-0.2773	0.2872	0.4132	-0.5882
47	25262792	11494412	-0.2152	-0.0173	-0.2012	-0.5428
47	25262792	11626560	1.0301	0.2087	0.987	0.5903
47	25262792	6918289	-0.1066	0.6719	0.5643	-0.266
47	25262792	6442177	-0.2928	0.5634	0.3726	-0.4134
47	25262792	45375953	0.8718	0.1707	0.839	0.8271
47	25262792	11520894	-0.1391	0.598	0.365	-0.3101
47	25262792	16720766	-0.3439	0.1022	-0.0886	-0.4813
47	25262792	25033539	0.1334	0.4618	0.7368	-0.1185
47	25262792	176167	-0.5269	-0.8386	-0.3333	-0.6135
47	25262792	11556711	-0.1678	0.3287	-0.3104	-0.1332
47	25262792	387447	1.2648	4.6282	-0.5565	-0.2023
47	25262792	11167602	0.2357	-0.4924	0.4363	-0.0701
47	25262792	24856436	0.4774	0.5254	0.9349	0.1291
47	23725625	24964624	-0.4465	0.4903	0.3748	-0.0988
47	23725625	24978538	0.7032	0.5517	1.1111	0.424
47	23725625	11717001	-1.7206	-0.9618	-1.108	-0.9817
47	23725625	11656518	0.1306	0.4251	0.8318	-0.0574
47	23725625	135330301	0.2064	-0.1977	0.2482	1.2787
47	23725625	2719	2.4257	1.015	1.9536	1.8847
47	23725625	104741	1.8736	5.9272	-0.6929	-0.6181
47	23725625	449459	0.909	1.6358	2.8948	0.5262
47	23725625	2733526	0.0543	0.5671	0.7223	-0.2054
47	23725625	148195	-0.4205	0.3207	0.2366	-0.6106
47	23725625	49867930	0.6697	0.305	0.3058	0.1063
47	23725625	5311	-0.7949	-0.1316	-1.0099	-0.8386
47	23725625	4261	0.7902	0.6189	0.977	0.5357
47	23725625	11707110	-0.5779	0.9263	1.5632	-0.6589
47	23725625	11626560	-0.4177	0.27	0.1201	-0.4723
47	23725625	17754438	-0.6393	0.1071	0.0725	-0.4813
47	23725625	6918289	-1.0461	0.1902	-0.5111	-0.7913
47	23725625	6442177	-0.3826	0.0177	-0.1584	-0.4822
47	23725625	45375953	-1.1479	0.1092	-0.3294	-0.9231
47	23725625	11520894	-0.7367	0.1965	-0.5006	-0.5942
47	23725625	16720766	0.4158	0.4612	0.819	0.21
47	23725625	11625818	-0.3507	0.3899	0.0266	-0.2695
47	23725625	49867926	-1.4183	-0.4803	-1.5697	-1.5976
47	23725625	25033539	0.6464	0.2071	0.849	0.4185
47	23725625	176167	1.4409	-0.1281	0.5673	1.3479
47	23725625	11556711	-0.2829	0.2186	-0.5985	-0.2974
47	23725625	11167602	-0.2776	0.54	0.5743	-0.1274
47	23725625	24856436	-0.5728	0.1863	-0.0723	-0.53
47	3081361	24964624	0.1436	0.6226	0.5375	1.1479
47	3081361	148177	-0.659	-0.3274	-1.5322	-1.0235
47	3081361	9444	0.4227	0.7774	1.148	1.1789
47	3081361	16681698	0.3388	0.2206	0.071	0.3661
47	3081361	24978538	0.6766	-1.5204	0.3802	0.7187
47	3081361	11178236	-0.0783	-1.8436	-0.42	0.0385
47	3081361	11717001	-0.1701	-0.0194	-0.5863	0.0127
47	3081361	11656518	0.0265	-1.0208	-0.598	-0.143
47	3081361	135330301	-1.0191	-0.1992	-1.2514	-1.1875
47	3081361	104741	0.0309	0.1164	-0.6737	-0.4124
47	3081361	449459	0.0387	-0.0943	-0.8555	-0.0343
47	3081361	2733526	0.2624	-0.9774	0.1492	0.1127
47	3081361	148195	0.2507	-0.8771	-0.1154	0.2117
47	3081361	49867930	-0.2703	0.1701	-0.5203	-0.0042
47	3081361	5311	-0.8725	-0.2506	-0.2282	-0.1232
47	3081361	4261	0.3274	-1.6108	-0.3984	0.4963
47	3081361	11955716	2.5597	-1.9717	0.918	2.6376
47	3081361	16719221	-0.3829	0.2336	0.0287	0.9854
47	3081361	11494412	0.6024	-0.7026	0.0933	0.5675
47	3081361	11626560	0.1749	-0.9458	0.0275	0.5778
47	3081361	17754438	0.1993	0.2767	-0.2779	0.6926
47	3081361	6442177	-0.3139	-0.1856	-0.6777	-0.4886
47	3081361	45375953	-1.295	0.6559	0.687	0.1934
47	3081361	11520894	0.0793	0.0184	-0.6493	-0.2939
47	3081361	16720766	0.1629	-1.6538	-0.2634	0.1019
47	3081361	11625818	-0.8277	0.3145	-2.3691	-1.5583
47	3081361	49867926	-0.3615	0.2254	-0.5472	-0.2193
47	3081361	25033539	0.2731	-2.0708	-0.4508	0.1558
47	3081361	176167	0.5994	0.1902	-0.7169	0.5989
47	3081361	11556711	-0.39	0.1189	-0.5359	-0.2684
47	3081361	387447	-0.3033	0.2341	-0.5788	-0.3019
47	3081361	11167602	-0.2616	0.1645	-0.2442	0.2844
47	3081361	24856436	0.2312	-1.5712	-0.5388	0.2252
